game_id,season,week,start_date,team,side,opponent,is_ap_ranked,ap_rank,pregame_elo,pregame_elo_rank,elo_source,fbs_field_size,timing_status,strength_score,strength_tier,top_percent
400787304,2015,1,2015-09-05T19:30:00.000Z,Miami (OH),home,Presbyterian,False,,1217,121,WEEKLY_CARRY,128,PREGAME_SAFE,6,Weak,95
400603828,2015,1,2015-09-05T19:30:00.000Z,Arkansas,home,UTEP,True,18,1741,16,GAME_PREGAME,128,PREGAME_SAFE,88,Strong,13
400603828,2015,1,2015-09-05T19:30:00.000Z,UTEP,away,Arkansas,False,,1359,95,GAME_PREGAME,128,PREGAME_SAFE,26,Below Average,75
400756904,2015,1,2015-09-05T19:30:00.000Z,UCLA,home,Virginia,True,13,1690,23,GAME_PREGAME,128,PREGAME_SAFE,83,Strong,18
400756904,2015,1,2015-09-05T19:30:00.000Z,Virginia,away,UCLA,False,,1494,65,GAME_PREGAME,128,PREGAME_SAFE,50,Above Average,51
400603829,2015,1,2015-09-05T19:30:00.000Z,Auburn,home,Louisville,True,6,1732,17,GAME_PREGAME,128,PREGAME_SAFE,87,Strong,14
400603829,2015,1,2015-09-05T19:30:00.000Z,Louisville,away,Auburn,False,,1682,26,GAME_PREGAME,128,PREGAME_SAFE,80,Strong,21
400763588,2015,1,2015-09-05T19:30:00.000Z,Eastern Michigan,home,Old Dominion,False,,1027,128,GAME_PREGAME,128,PREGAME_SAFE,1,Weak,100
400763588,2015,1,2015-09-05T19:30:00.000Z,Old Dominion,away,Eastern Michigan,False,,1295,111,GAME_PREGAME,128,PREGAME_SAFE,13,Weak,88
400763592,2015,1,2015-09-05T19:30:00.000Z,Tulsa,home,Florida Atlantic,False,,1285,115,GAME_PREGAME,128,PREGAME_SAFE,10,Weak,91
400763592,2015,1,2015-09-05T19:30:00.000Z,Florida Atlantic,away,Tulsa,False,,1311,107,GAME_PREGAME,128,PREGAME_SAFE,16,Weak,85
400834350,2015,1,2015-09-05T20:00:00.000Z,Tennessee,home,Bowling Green,True,25,1613,36,GAME_PREGAME,128,PREGAME_SAFE,72,Above Average,29
400834350,2015,1,2015-09-05T20:00:00.000Z,Bowling Green,away,Tennessee,False,,1379,90,GAME_PREGAME,128,PREGAME_SAFE,30,Below Average,71
400787116,2015,1,2015-09-05T20:00:00.000Z,Wyoming,home,North Dakota,False,,1294,112,WEEKLY_CARRY,128,PREGAME_SAFE,12,Weak,89
400763472,2015,1,2015-09-05T20:00:00.000Z,Indiana,home,Southern Illinois,False,,1413,84,WEEKLY_CARRY,128,PREGAME_SAFE,35,Below Average,66
400603834,2015,1,2015-09-05T20:00:00.000Z,Missouri,home,Southeast Missouri State,True,24,1701,21,WEEKLY_CARRY,128,PREGAME_SAFE,84,Strong,17
400787112,2015,1,2015-09-05T20:00:00.000Z,Colorado State,home,Savannah State,False,,1535,56,WEEKLY_CARRY,128,PREGAME_SAFE,57,Above Average,44
400763591,2015,1,2015-09-05T20:40:00.000Z,Rice,home,Wagner,False,,1473,72,WEEKLY_CARRY,128,PREGAME_SAFE,44,Below Average,57
400756890,2015,1,2015-09-05T21:00:00.000Z,California,home,Grambling,False,,1417,82,WEEKLY_CARRY,128,PREGAME_SAFE,36,Below Average,65
