season,effective_week,team,is_ap_ranked,ap_rank,ap_points,ap_first_place_votes,elo_rating,elo_rank,fbs_field_size,ap_source_week,elo_snapshot_week,timing_status
2018,4,Northern Illinois,False,,,,1463,75,130,4,4,PREGAME_SAFE
2018,4,Northwestern,False,,,,1613,39,130,4,4,PREGAME_SAFE
2018,4,Notre Dame,True,8,1034,0,1706,22,130,4,4,PREGAME_SAFE
2018,4,Ohio,False,,,,1556,54,130,4,4,PREGAME_SAFE
2018,4,Ohio State,True,4,1357,0,2019,3,130,4,4,PREGAME_SAFE
2018,4,Oklahoma,True,5,1283,0,1995,4,130,4,4,PREGAME_SAFE
2018,4,Oklahoma State,True,15,587,0,1889,7,130,4,4,PREGAME_SAFE
2018,4,Old Dominion,False,,,,1153,119,130,4,4,PREGAME_SAFE
2018,4,Oregon,True,20,399,0,1643,32,130,4,4,PREGAME_SAFE
2018,4,Oregon State,False,,,,1182,116,130,4,4,PREGAME_SAFE
2018,4,Penn State,True,10,947,0,2051,2,130,4,4,PREGAME_SAFE
2018,4,Pittsburgh,False,,,,1478,70,130,4,4,PREGAME_SAFE
2018,4,Purdue,False,,,,1553,56,130,4,4,PREGAME_SAFE
2018,4,Rice,False,,,,1147,120,130,4,4,PREGAME_SAFE
2018,4,Rutgers,False,,,,1115,122,130,4,4,PREGAME_SAFE
2018,4,SMU,False,,,,1279,111,130,4,4,PREGAME_SAFE
2018,4,San Diego State,False,,,,1565,51,130,4,4,PREGAME_SAFE
2018,4,San José State,False,,,,1029,129,130,4,4,PREGAME_SAFE
2018,4,South Alabama,False,,,,1200,115,130,4,4,PREGAME_SAFE
2018,4,South Carolina,False,,,,1597,44,130,4,4,PREGAME_SAFE
2018,4,South Florida,False,,,,1649,30,130,4,4,PREGAME_SAFE
2018,4,Southern Miss,False,,,,1412,84,130,4,4,PREGAME_SAFE
2018,4,Stanford,True,7,1055,0,1812,12,130,4,4,PREGAME_SAFE
2018,4,Syracuse,False,,,,1474,72,130,4,4,PREGAME_SAFE
2018,4,TCU,True,17,502,0,1751,20,130,4,4,PREGAME_SAFE
2018,4,Temple,False,,,,1550,57,130,4,4,PREGAME_SAFE
2018,4,Tennessee,False,,,,1392,88,130,4,4,PREGAME_SAFE
2018,4,Texas,False,,,,1689,25,130,4,4,PREGAME_SAFE
2018,4,Texas A&M,True,22,193,0,1689,25,130,4,4,PREGAME_SAFE
2018,4,Texas State,False,,,,1061,128,130,4,4,PREGAME_SAFE
2018,4,Texas Tech,False,,,,1520,63,130,4,4,PREGAME_SAFE
2018,4,Texas-San Antonio,False,,,,1258,112,130,4,4,PREGAME_SAFE
2018,4,Toledo,False,,,,1508,65,130,4,4,PREGAME_SAFE
2018,4,Troy,False,,,,1498,66,130,4,4,PREGAME_SAFE
2018,4,Tulane,False,,,,1379,93,130,4,4,PREGAME_SAFE
2018,4,Tulsa,False,,,,1424,83,130,4,4,PREGAME_SAFE
2018,4,UAB,False,,,,1325,101,130,4,4,PREGAME_SAFE
2018,4,UCF,True,16,556,0,1780,14,130,4,4,PREGAME_SAFE
2018,4,UCLA,False,,,,1371,95,130,4,4,PREGAME_SAFE
2018,4,UL Monroe,False,,,,1230,113,130,4,4,PREGAME_SAFE
2018,4,UNLV,False,,,,1378,94,130,4,4,PREGAME_SAFE
2018,4,USC,False,,,,1641,33,130,4,4,PREGAME_SAFE
2018,4,UTEP,False,,,,1015,130,130,4,4,PREGAME_SAFE
2018,4,Utah,False,,,,1620,37,130,4,4,PREGAME_SAFE
2018,4,Utah State,False,,,,1580,48,130,4,4,PREGAME_SAFE
2018,4,Vanderbilt,False,,,,1561,52,130,4,4,PREGAME_SAFE
2018,4,Virginia,False,,,,1427,81,130,4,4,PREGAME_SAFE
2018,4,Virginia Tech,True,13,816,0,1775,17,130,4,4,PREGAME_SAFE
2018,4,Wake Forest,False,,,,1582,47,130,4,4,PREGAME_SAFE
2018,4,Washington,True,10,947,0,1842,9,130,4,4,PREGAME_SAFE
2018,4,Washington State,False,,,,1629,34,130,4,4,PREGAME_SAFE
2018,4,West Virginia,True,12,841,0,1612,40,130,4,4,PREGAME_SAFE
2018,4,Western Kentucky,False,,,,1403,86,130,4,4,PREGAME_SAFE
2018,4,Western Michigan,False,,,,1391,89,130,4,4,PREGAME_SAFE
2018,4,Wisconsin,True,18,486,0,1864,8,130,4,4,PREGAME_SAFE
2018,4,Wyoming,False,,,,1455,76,130,4,4,PREGAME_SAFE
2018,5,Air Force,False,,,,1436,81,130,5,5,PREGAME_SAFE
2018,5,Akron,False,,,,1315,104,130,5,5,PREGAME_SAFE
2018,5,Alabama,True,1,1523,60,2237,1,130,5,5,PREGAME_SAFE
2018,5,App State,False,,,,1696,24,130,5,5,PREGAME_SAFE
2018,5,Arizona,False,,,,1462,76,130,5,5,PREGAME_SAFE
2018,5,Arizona State,False,,,,1603,42,130,5,5,PREGAME_SAFE
2018,5,Arkansas,False,,,,1338,96,130,5,5,PREGAME_SAFE
2018,5,Arkansas State,False,,,,1499,69,130,5,5,PREGAME_SAFE
2018,5,Army,False,,,,1562,52,130,5,5,PREGAME_SAFE
2018,5,Auburn,True,10,987,0,1866,9,130,5,5,PREGAME_SAFE
2018,5,BYU,True,20,270,0,1454,80,130,5,5,PREGAME_SAFE
2018,5,Ball State,False,,,,1082,123,130,5,5,PREGAME_SAFE
